

Trajectories
100
,,LeftHand:Index1,,,LeftHand:Index2,,,LeftHand:Index3,,,LeftHand:Thumb1,,,LeftHand:Thumb2,,,LeftHand:Thumb3,,,LeftHand:Wrist1,,,LeftHand:Wrist2,,,LeftHand:Wrist3,,,LeftHand:Wrist4,,,Realsense:Camera1,,,Realsense:Camera2,,,Realsense:Camera3,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
27,0,1173.923584,765.173645,746.667114,1199.561035,755.115601,745.531738,1220.357056,746.267883,747.760498,1094.934692,751.767212,744.078430,1117.634033,730.848633,744.596985,1141.362549,711.335693,746.877136,1130.947021,793.154907,744.090210,1127.516235,822.223450,745.235901,1081.628052,807.127319,745.566406,1011.903870,802.279236,745.482117,1524.883179,832.509338,1709.880249,1507.041748,781.382629,1724.261841,1521.393311,727.512634,1710.602783
28,0,1173.912109,765.191101,746.669983,1199.564941,755.101929,745.520264,1220.368408,746.372681,747.795044,1094.921265,751.775513,744.078003,1117.626221,730.850647,744.593323,1141.362671,711.333679,746.862793,1130.820312,793.136658,744.080017,1127.507080,822.212585,745.214050,1081.620972,807.122742,745.558899,1011.890381,802.276367,745.487183,1524.873413,832.514648,1709.881348,1507.051147,781.383789,1724.254639,1521.392212,727.511414,1710.592773
29,0,1173.919800,765.181030,746.661682,1199.565674,755.098572,745.510559,1220.373169,746.346802,747.787842,1094.928467,751.774109,744.079895,1117.636230,730.852966,744.590088,1141.363892,711.340576,746.865173,1130.888062,793.167236,744.124512,1127.514282,822.222107,745.231750,1081.621582,807.133545,745.571167,1011.905457,802.284424,745.487183,1524.885376,832.505554,1709.881836,1507.054443,781.388489,1724.263672,1521.369873,727.496399,1710.585083
30,0,1173.929932,765.187439,746.661987,1199.567627,755.107910,745.518066,1220.377808,746.367920,747.785583,1094.932617,751.780212,744.081970,1117.638428,730.859314,744.599243,1141.364990,711.336975,746.872986,1130.942749,793.149048,744.075867,1127.509766,822.218628,745.226562,1081.626953,807.118835,745.554932,1011.900879,802.268372,745.483521,1524.879028,832.509460,1709.885132,1507.049438,781.384888,1724.256836,1521.392090,727.499939,1710.589478
31,0,1173.919800,765.173767,746.658325,1199.562500,755.090210,745.516785,1220.373657,746.381592,747.808289,1094.931030,751.778809,744.090698,1117.635010,730.849731,744.595581,1141.359619,711.335144,746.872192,1130.931030,793.152710,744.112610,1127.508545,822.217407,745.228516,1081.630493,807.124878,745.566040,1011.900879,802.282593,745.482239,1524.881348,832.508545,1709.876465,1507.052490,781.384766,1724.262817,1521.379150,727.517395,1710.598633
32,0,1173.923950,765.172852,746.658264,1199.562744,755.091370,745.514771,1220.375977,746.379028,747.796753,1094.933105,751.775085,744.088013,1117.633057,730.847839,744.598389,1141.365967,711.341248,746.875916,1130.900635,793.191467,744.135132,1127.508789,822.216675,745.228394,1081.624878,807.117371,745.559021,1011.899353,802.280640,745.491638,1524.883179,832.505310,1709.877075,1507.052246,781.384705,1724.254395,1521.396851,727.502502,1710.594971
33,0,1173.920654,765.186340,746.663879,1199.560547,755.106628,745.518372,1220.369995,746.385254,747.794739,1094.933228,751.775818,744.075928,1117.641846,730.844910,744.581970,1141.363159,711.338989,746.864258,1130.763794,793.171265,744.112854,1127.478638,822.163391,745.104370,1081.624146,807.135315,745.568909,1011.900879,802.288086,745.487549,1524.882202,832.520691,1709.883911,1507.052246,781.395203,1724.255859,1521.394043,727.520752,1710.589478
34,0,1173.927734,765.158752,746.642822,1199.562012,755.113770,745.516113,1220.358032,746.272705,747.757629,1094.935913,751.784180,744.086365,1117.623901,730.862061,744.603943,1141.363281,711.334412,746.859253,1130.863770,793.208801,744.150208,1127.519653,822.220276,745.230225,1081.621582,807.122925,745.558228,1011.899109,802.275391,745.487183,1524.876343,832.515503,1709.880127,1507.052368,781.378967,1724.252686,1521.399658,727.498901,1710.596802
35,0,1173.926270,765.188416,746.665222,1199.562988,755.102783,745.511230,1220.369995,746.354431,747.792725,1094.921509,751.768005,744.084961,1117.633179,730.848267,744.597534,1141.364868,711.324402,746.859070,1130.755981,793.180664,744.143494,1127.513672,822.211731,745.211731,1081.616821,807.120361,745.565125,1011.896240,802.271912,745.481689,1524.877075,832.506592,1709.874023,1507.052002,781.374084,1724.255127,1521.389038,727.529968,1710.590210
36,0,1173.915527,765.187134,746.671448,1199.567871,755.110413,745.523315,1220.349854,746.276245,747.761902,1094.931274,751.768311,744.079712,1117.630981,730.847046,744.592896,1141.353394,711.338013,746.866699,1130.866333,793.210510,744.157166,1127.510376,822.211670,745.223511,1081.620605,807.135986,745.569031,1011.895203,802.277771,745.487610,1524.878540,832.515259,1709.879883,1507.051025,781.378601,1724.262695,1521.398438,727.515503,1710.593140
